freq_hz,magnitude
5.652465820312500000e+03,1.739688034158216964e-21
5.663232421875000000e+03,1.719892213334006558e-21
5.673999023437500000e+03,1.700363011958711855e-21
5.684765625000000000e+03,1.681063884884276586e-21
5.695532226562500000e+03,1.662047822922117309e-21
5.706298828125000000e+03,1.643277543712661478e-21
5.717065429687500000e+03,1.624726004570819899e-21
5.727832031250000000e+03,1.606464974017066495e-21
5.738598632812500000e+03,1.588414784756387502e-21
5.749365234375000000e+03,1.570580977317419922e-21
5.760131835937500000e+03,1.553018257888842326e-21
5.770898437500000000e+03,1.535662216007121939e-21
5.781665039062500000e+03,1.518544505572338675e-21
5.792431640625000000e+03,1.501626633599192981e-21
5.803198242187500000e+03,1.484956326247453665e-21
5.813964843750000000e+03,1.468467750175424649e-21
5.824731445312500000e+03,1.452225878536300206e-21
5.835498046875000000e+03,1.436181378092643497e-21
5.846264648437500000e+03,1.420316915516155457e-21
5.857031250000000000e+03,1.404700445920044043e-21
5.867797851562500000e+03,1.389251074358608833e-21
5.878564453125000000e+03,1.374013248277688390e-21
5.889331054687500000e+03,1.358965079834489935e-21
5.900097656250000000e+03,1.344104572058072503e-21
5.910864257812500000e+03,1.329435103334996180e-21
5.921630859375000000e+03,1.314965239204025651e-21
5.932397460937500000e+03,1.300657912011503308e-21
5.943164062500000000e+03,1.286543262007058294e-21
5.953930664062500000e+03,1.272603840252430732e-21
5.964697265625000000e+03,1.258839722460930956e-21
5.975463867187500000e+03,1.245254323303212265e-21
5.986230468750000000e+03,1.231819426993778166e-21
5.996997070312500000e+03,1.218585021036882784e-21
6.007763671875000000e+03,1.205485508572459603e-21
6.018530273437500000e+03,1.192560422590126380e-21
6.029296875000000000e+03,1.179812410798738114e-21
6.040063476562500000e+03,1.167190437778366569e-21
6.050830078125000000e+03,1.154758253053620359e-21
6.061596679687500000e+03,1.142457148762069031e-21
6.072363281250000000e+03,1.130314863702711642e-21
6.083129882812500000e+03,1.118331364504799804e-21
6.093896484375000000e+03,1.106483489550070600e-21
6.104663085937500000e+03,1.094780841218918874e-21
6.115429687500000000e+03,1.083236301869880594e-21
6.126196289062500000e+03,1.071815847692289033e-21
6.136962890625000000e+03,1.060545286085112826e-21
6.147729492187500000e+03,1.049413169845827461e-21
6.158496093750000000e+03,1.038409600642022719e-21
6.169262695312500000e+03,1.027541362680740090e-21
6.180029296875000000e+03,1.016821615181696933e-21
6.190795898437500000e+03,1.006207803493787778e-21
6.201562500000000000e+03,9.957316724069089481e-22
6.212329101562500000e+03,9.853873375661677497e-22
6.223095703125000000e+03,9.751688855245504463e-22
6.233862304687500000e+03,9.650595448074165373e-22
