f1,f2,f3,f4
2.599098800786907759e+03,3.250291284283900950e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.667703964952762590e+02,2.714900172674877467e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.285850277152610033e+03,2.553874276747072599e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.609650358612373338e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.170906272208886776e+03,3.411294452510152951e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.012763415682468121e+03,2.316641707676096757e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.208941676843031928e+03,2.492986024274910960e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.367582965028937906e+03,1.885920240357607554e+03,2.474725861687483757e+03,0.000000000000000000e+00
1.491576925865433395e+03,1.987699265637061217e+03,3.799037372961304754e+03,0.000000000000000000e+00
1.561497371360988154e+03,1.961315438527803508e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.564292788642394271e+03,2.011286504589473680e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.730651204431420183e+03,2.366846945893861175e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.324845494911041669e+03,2.084414891546451599e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.517182965534987261e+03,2.122755825820481277e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.531405968737337389e+03,2.261160875768121969e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.562433867722595323e+03,2.237568101016938726e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.558951546111050675e+03,2.175136517302036737e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.947964606359229037e+03,2.511094447805764503e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.096475322227095148e+02,2.097262533773844552e+03,2.658539649793728586e+03,0.000000000000000000e+00
1.684498309396851255e+03,2.079996557763499823e+03,2.560410469506009122e+03,0.000000000000000000e+00
1.810759949975265727e+03,2.454719625000500400e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.717495262386364629e+02,1.851004334068806884e+03,2.704108246392320780e+03,0.000000000000000000e+00
1.585026115714829302e+03,2.124274235997940650e+03,2.422379048923843584e+03,0.000000000000000000e+00
1.283323547277895841e+03,1.943585857755054121e+03,3.664207893082435930e+03,0.000000000000000000e+00
1.429236953423944442e+03,1.934670498280420361e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.590042125178188599e+03,2.218654271525704189e+03,2.234756007244197463e+03,0.000000000000000000e+00
1.577311631668520704e+03,2.347156169513631539e+03,3.731453196787852903e+03,0.000000000000000000e+00
1.575867123017902941e+03,2.506592572851818204e+03,3.286912407697133403e+03,3.390148073482754626e+03
