time_s,freq_hz
1.410113378684807373e+01,2.153320312500000000e+02
1.410394557823129347e+01,2.153320312500000000e+02
1.410675736961451321e+01,2.153320312500000000e+02
1.410956916099773295e+01,2.153320312500000000e+02
1.411238095238095269e+01,2.153320312500000000e+02
1.411519274376417243e+01,2.153320312500000000e+02
1.411800453514739218e+01,2.153320312500000000e+02
1.412081632653061369e+01,8.613281250000000000e+01
1.412362811791383344e+01,1.291992187500000000e+02
1.412643990929705318e+01,1.291992187500000000e+02
1.412925170068027292e+01,1.291992187500000000e+02
1.413206349206349266e+01,1.291992187500000000e+02
1.413487528344671240e+01,1.291992187500000000e+02
1.413768707482993214e+01,1.291992187500000000e+02
1.414049886621315189e+01,1.291992187500000000e+02
1.414331065759637340e+01,1.722656250000000000e+02
1.414612244897959314e+01,1.722656250000000000e+02
1.414893424036281289e+01,1.722656250000000000e+02
1.415174603174603263e+01,1.722656250000000000e+02
1.415455782312925237e+01,1.722656250000000000e+02
1.415736961451247211e+01,2.153320312500000000e+02
1.416018140589569185e+01,2.153320312500000000e+02
1.416299319727891159e+01,8.613281250000000000e+01
1.416580498866213134e+01,8.613281250000000000e+01
1.416861678004535285e+01,1.291992187500000000e+02
1.417142857142857260e+01,1.291992187500000000e+02
1.417424036281179234e+01,1.291992187500000000e+02
1.417705215419501208e+01,1.291992187500000000e+02
1.417986394557823182e+01,1.291992187500000000e+02
1.418267573696145156e+01,1.722656250000000000e+02
1.418548752834467130e+01,1.722656250000000000e+02
1.418829931972789105e+01,1.722656250000000000e+02
1.419111111111111256e+01,1.722656250000000000e+02
1.419392290249433231e+01,1.722656250000000000e+02
1.419673469387755205e+01,1.722656250000000000e+02
1.419954648526077179e+01,1.722656250000000000e+02
1.420235827664399153e+01,1.722656250000000000e+02
1.420517006802721127e+01,1.722656250000000000e+02
1.420798185941043101e+01,1.722656250000000000e+02
1.421079365079365076e+01,1.722656250000000000e+02
1.421360544217687227e+01,2.153320312500000000e+02
1.421641723356009201e+01,2.153320312500000000e+02
1.421922902494331176e+01,2.583984375000000000e+02
1.422204081632653150e+01,1.291992187500000000e+02
1.422485260770975124e+01,1.291992187500000000e+02
1.422766439909297098e+01,1.291992187500000000e+02
1.423047619047619072e+01,1.291992187500000000e+02
1.423328798185941046e+01,1.291992187500000000e+02
1.423609977324263021e+01,8.613281250000000000e+01
1.423891156462585172e+01,8.613281250000000000e+01
1.424172335600907147e+01,1.291992187500000000e+02
1.424453514739229121e+01,1.291992187500000000e+02
1.424734693877551095e+01,1.291992187500000000e+02
1.425015873015873069e+01,1.291992187500000000e+02
1.425297052154195043e+01,1.722656250000000000e+02
1.425578231292517017e+01,1.722656250000000000e+02
1.425859410430838992e+01,1.722656250000000000e+02
1.426140589569161143e+01,1.722656250000000000e+02
1.426421768707483118e+01,1.722656250000000000e+02
1.426702947845805092e+01,1.722656250000000000e+02
1.426984126984127066e+01,2.583984375000000000e+02
1.427265306122449040e+01,2.583984375000000000e+02
1.427546485260771014e+01,2.153320312500000000e+02
1.427827664399092988e+01,1.291992187500000000e+02
1.428108843537414963e+01,1.291992187500000000e+02
1.428390022675737114e+01,1.291992187500000000e+02
1.428671201814059089e+01,1.291992187500000000e+02
1.428952380952381063e+01,1.291992187500000000e+02
1.429233560090703037e+01,1.291992187500000000e+02
1.429514739229025011e+01,8.613281250000000000e+01
1.429795918367346985e+01,8.613281250000000000e+01
1.430077097505668959e+01,8.613281250000000000e+01
1.430358276643990934e+01,8.613281250000000000e+01
1.430639455782312908e+01,8.613281250000000000e+01
1.430920634920635059e+01,1.291992187500000000e+02
1.431201814058957034e+01,1.291992187500000000e+02
1.431482993197279008e+01,1.291992187500000000e+02
1.431764172335600982e+01,1.291992187500000000e+02
1.432045351473922956e+01,8.613281250000000000e+01
1.432326530612244930e+01,8.613281250000000000e+01
1.432607709750566904e+01,1.291992187500000000e+02
1.432888888888888879e+01,1.291992187500000000e+02
1.433170068027211030e+01,1.291992187500000000e+02
1.433451247165533005e+01,1.291992187500000000e+02
1.433732426303854979e+01,1.291992187500000000e+02
1.434013605442176953e+01,1.765722656250000000e+03
1.434294784580498927e+01,1.765722656250000000e+03
1.434575963718820901e+01,1.765722656250000000e+03
1.434857142857142875e+01,1.291992187500000000e+02
1.435138321995464850e+01,1.291992187500000000e+02
1.435419501133787001e+01,1.291992187500000000e+02
1.435700680272108976e+01,1.291992187500000000e+02
1.435981859410430950e+01,1.291992187500000000e+02
1.436263038548752924e+01,1.291992187500000000e+02
1.436544217687074898e+01,1.291992187500000000e+02
1.436825396825396872e+01,1.291992187500000000e+02
1.437106575963718846e+01,8.613281250000000000e+01
1.437387755102040821e+01,8.613281250000000000e+01
1.437668934240362795e+01,1.291992187500000000e+02
1.437950113378684946e+01,1.291992187500000000e+02
1.438231292517006921e+01,1.291992187500000000e+02
1.438512471655328895e+01,1.291992187500000000e+02
1.438793650793650869e+01,1.291992187500000000e+02
1.439074829931972843e+01,1.291992187500000000e+02
1.439356009070294817e+01,1.291992187500000000e+02
1.439637188208616791e+01,1.291992187500000000e+02
1.439918367346938766e+01,1.291992187500000000e+02
